episode,episode_reward,episode_time,success
0,-71.9641461016996,227,0
1,-444.24052911193303,293,0
2,56.40412606547592,189,0
3,-378.15214280160563,286,0
4,-206.56045329207328,159,0
5,-8.241101835367736,374,0
6,411.8051748886232,180,0
7,324.83954671589174,329,0
8,237.10140034110825,203,0
9,36.400850986813914,287,0
10,1370.0521983356923,361,0
11,691.7658399437123,183,0
12,319.86936617879155,449,0
13,656.9511944234428,172,0
14,680.1847182417358,185,0
15,580.1216070137791,230,0
16,735.7619747996833,415,0
17,422.102678961845,355,0
18,398.6349379920908,633,0
19,621.4561544574199,223,0
20,588.7682497450359,212,0
21,1937.0391304980913,558,0
22,365.9053041605918,292,0
23,495.395594815491,301,0
24,969.0435096086178,218,0
25,804.3715818172843,227,0
26,929.3144959438966,337,0
27,776.05610842296,228,0
28,867.3696526209815,363,0
29,756.253109212534,216,0
30,1710.8522786111412,392,0
31,1357.304332120566,187,0
32,671.392073525208,270,0
33,887.7129774111886,232,0
34,866.0759197117256,197,0
35,813.2231368985289,300,0
36,1133.3869530138425,359,0
37,405.2153853110655,383,0
38,703.8327490134151,323,0
39,1370.5351521718753,916,0
40,1092.2948937693138,190,0
41,1445.0169321376345,464,0
42,1391.0932560802105,444,0
43,937.3787872614603,275,0
44,1359.7513670645894,173,0
45,222.34572236303353,323,0
46,811.6008329054052,230,0
47,639.5354339737003,386,0
48,1070.6769412173132,269,0
49,927.5468858859072,208,0
50,1061.1150019553068,281,0
51,1296.8432581885522,188,0
52,970.7683428701407,272,0
53,397.5411709964619,292,0
54,558.3771441952842,306,0
55,886.2091118497488,293,0
56,1240.708726485618,204,0
57,1147.4843978164652,304,0
58,662.7894701691467,355,0
59,1216.8594189125613,195,0
60,936.2270684682766,190,0
61,1299.2192561531033,170,0
62,1073.6323147042024,206,0
63,570.3541415460309,305,0
64,883.9692375269825,261,0
65,1025.0260549015613,248,0
66,1267.5794041424904,498,0
67,1707.1158823573185,537,0
68,698.3969213377103,510,0
69,778.0303591212142,201,0
70,974.2954604819188,216,0
71,820.4944370296939,327,0
72,1119.3103117229412,190,0
73,727.2543042660606,238,0
74,719.2597601635396,307,0
75,1197.436302463387,216,0
76,953.0479225643832,194,0
77,1067.2144787508978,436,0
78,1132.141104592076,256,0
79,791.6997700768296,401,0
80,1049.5545953313965,180,0
81,1011.5155414983451,248,0
82,938.3877965632851,241,0
83,1732.8921828169705,458,0
84,1215.2047002964775,219,0
85,1533.8976986355449,345,0
86,602.6270049151242,281,0
87,777.0069057896231,262,0
88,790.3822440761744,286,0
89,757.2760901470548,450,0
90,1154.536503684071,205,0
91,1182.6045314456949,184,0
92,777.3183212246429,303,0
93,1117.5185999343582,224,0
94,1350.1086981869632,169,0
95,872.6135039684585,309,0
96,894.637936584419,200,0
97,963.7703631656201,250,0
98,1494.94337157957,168,0
99,842.1026037007734,253,0
100,2251.27756235299,520,0
101,804.169329681286,231,0
102,1592.72849483956,541,0
103,1061.0978390157795,203,0
104,1088.4279613772485,327,0
105,373.33303364759314,380,0
106,1492.393772921957,510,0
107,1144.9563484532418,200,0
108,1163.4238191464738,221,0
109,731.474550408975,292,0
110,1238.3078864245324,270,0
111,937.4644443509723,420,0
112,1565.1137017205658,491,0
113,1099.8970163484962,192,0
114,1128.473609737827,250,0
115,1660.2836422817895,420,0
116,610.086493701299,248,0
117,814.2317589360373,293,0
118,776.0045036540588,307,0
119,617.6454273512996,300,0
120,1169.7858066342278,196,0
121,1229.3294271524198,188,0
122,1242.7920089761449,200,0
123,2649.609208059572,520,0
124,1390.0635207482437,491,0
125,526.3126648299952,262,0
126,867.7128811132021,311,0
127,1373.7181116713737,172,0
128,1423.610576442629,168,0
129,888.3985958050682,200,0
130,902.0817048751561,239,0
131,690.5749304650121,368,0
132,1462.701175914371,178,0
133,937.2017140894338,231,0
134,1315.6620196615263,212,0
135,1418.8717954610197,188,0
136,1211.810884166543,470,0
137,1012.0153189702286,181,0
138,898.5803041532398,186,0
139,1003.7703872872388,269,0
140,754.7705920787388,197,0
141,1023.2928520218003,489,0
142,791.272357908461,182,0
143,1109.0803346468228,205,0
144,383.3310149163618,393,0
145,1251.0951836318493,437,0
146,989.9747499925892,216,0
147,841.9660494221808,328,0
148,954.5490426610626,273,0
149,903.6738761325248,269,0
150,1718.6921900522789,1003,0
151,1778.65676549868,498,0
152,732.5978944567645,237,0
153,635.8656665000244,232,0
154,735.4925379835073,376,0
155,1216.5447192092292,525,0
156,689.6737400341553,261,0
157,915.1864907335745,303,0
158,802.6831505866109,313,0
159,1452.3277610879068,185,0
160,1166.3858107752399,294,0
161,1273.439869767445,207,0
162,1364.0226378501566,182,0
163,1088.3576754461162,234,0
164,873.4602948495201,376,0
165,1023.2377908444654,223,0
166,1032.6941740404197,220,0
167,1140.1329600867439,237,0
168,606.7840520879292,332,0
169,1105.6057025089367,197,0
170,1594.4693087250596,168,0
171,1052.4093595298025,323,0
172,1647.7123136697935,486,0
173,1133.6881475305852,349,0
174,1004.2363583114392,200,0
175,839.8660379382836,370,0
176,603.7752974199587,378,0
177,1214.1415993708172,198,0
178,892.3754680746124,247,0
179,1127.562621325355,416,0
180,891.1476796955473,162,0
181,595.137533126569,192,0
182,1402.9583400527345,168,0
183,818.2433245065364,274,0
184,250.34818830358384,391,0
185,820.3185984609388,417,0
